תיקים חסרים
133/10 בג"ץ,3
264/10 ע"א,3
793/10 ע"פ,3
868/10 ע"א,3
1195/10 בג"ץ,7
1346/10 ע"א,3
1394/10 ע"פ,3
1433/10 ע"פ,3
1444/10 עע"מ,3
1540/10 בג"ץ,3
1718/10 ע"א,3
1787/10 ע"א,3
1855/10 ע"א,3
1890/10 בג"ץ,3
1901/10 בג"ץ,3
2028/10 עע"מ,3
2172/10 ע"א,3
2189/10 בג"ץ,3
2624/10 עע"מ,3
2729/10 בג"ץ,3
2850/10 עע"מ,3
2880/10 בג"ץ,3
2909/10 בג"ץ,3
3004/10 ע"א,3
3157/10 בג"ץ,3
3430/10 בג"ץ,3
3520/10 ע"א,3
3521/10 ע"א,3
3587/10 בג"ץ,3
3629/10 עע"מ,3
3664/10 עע"מ,3
3712/10 ע"א,3
4207/10 בג"ץ,3
4301/10 בג"ץ,3
4414/10 בג"ץ,3
4752/10 עע"מ,3
4815/10 בג"ץ,3
4912/10 בג"ץ,3
5056/10 ע"א,3
5251/10 ע"א,3
5360/10 בג"ץ,3
5659/10 בג"ץ,3
5720/10 בג"ץ,3
5754/10 בג"ץ,3
5902/10 בג"ץ,3
5999/10 בג"ץ,3
6083/10 בג"ץ,3
6117/10 בג"ץ,3
6174/10 בג"ץ,3
6277/10 בג"ץ,3
6474/10 בג"ץ,3
6715/10 בג"ץ,3
6832/10 בג"ץ,3
6986/10 בג"ץ,3
7068/10 בג"ץ,3
7245/10 בג"ץ,3
7415/10 ע"א,3
7757/10 בג"ץ,3
7939/10 ע"פ,3
7997/10 בג"ץ,3
8013/10 בג"ץ,3
8060/10 בג"ץ,3
8108/10 בג"ץ,3
8196/10 בג"ץ,3
8246/10 ע"א,3
8273/10 עע"מ,3
8327/10 ע"א,3
8395/10 בג"ץ,3
8503/10 ע"א,3
9032/10 ע"א,3
9130/10 ע"א,3
9141/10 ע"פ,3
9467/10 בג"ץ,3
9576/10 בג"ץ,3
46/11 ע"א,3
174/11 ע"א,3
195/11 ע"א,3
278/11 עע"מ,3
447/11 ע"א,3
483/11 ע"א,3
501/11 בג"ץ,3
634/11 בג"ץ,3
647/11 בג"ץ,3
882/11 ע"א,3
989/11 ע"א,3
992/11 ע"א,3
1014/11 בג"ץ,3
1100/11 ע"פ,3
1188/11 בג"ץ,3
1377/11 ע"א,3
1381/11 ע"א,3
1473/11 ע"פ,3
1672/11 עע"מ,3
1719/11 בג"ץ,3
1724/11 בג"ץ,3
1746/11 ע"א,3
1813/11 בג"ץ,3
1853/11 עע"מ,3
1893/11 בג"ץ,3
1927/11 ע"א,3
1930/11 בג"ץ,3
2188/11 בג"ץ,3
2192/11 ע"פ,3
2220/11 עע"מ,3
2385/11 ע"א,3
2427/11 ע"א,3
2428/11 ע"א,3
2442/11 בג"ץ,3
2627/11 ע"א,3
2640/11 ע"א,3
2686/11 ע"א,3
2687/11 ע"א,3
2693/11 בג"ץ,3
2815/11 בג"ץ,3
2827/11 ע"א,3
3082/11 בג"ץ,3
3146/11 עע"מ,3
3166/11 בג"ץ,3
3260/11 ע"א,3
3427/11 בג"ץ,3
3450/11 עע"מ,3
3477/11 ע"א,3
3552/11 בג"ץ,3
3737/11 ע"א,3
3752/11 ע"פ,3
