תיק כפול,תיק מקורי,מצב תיק מקורי בנמלה,כתובת,פסק דין?,בג"ץ?,דחיה על הסף?,פעולה שיש לבצע
9821/2016,10115/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\210\098\j05&fileName=16098210.J05&type=2,כן,,,הוספה לנמלה
9967/2016,10115/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\210\098\j05&fileName=16098210.J05&type=2,כן,,,הוספה לנמלה
398/2016,1800/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\000\018\w09&fileName=15018000_w09.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7466/2012,7079/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\790\070\o07&fileName=12070790_o07.txt&type=2,כן,,,הוספה לנמלה
8623/2012,8615/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\150\086\t19&fileName=12086150_t19.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
8931/2012,8615/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\150\086\t19&fileName=12086150_t19.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
2129/2012,2108/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\080\021\i01&fileName=12021080_i01.txt&type=2,כן,,,הוספה לנמלה
1772/2017,1473/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\730\014\k07&fileName=17014730_k07.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
1812/2011,814/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\140\008\s09&fileName=11008140_s09.txt&type=2,כן,,,הוספה לנמלה
9030/2011,3020/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\200\030\h15&fileName=10030200_h15.txt&type=2,כן,,,הוספה לנמלה
391/2012,4535/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\350\045\c09&fileName=11045350_c09.txt&type=2,כן,כן,,הוספה לנמלה
396/2012,4535/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\350\045\c09&fileName=11045350_c09.txt&type=2,כן,כן,,הוספה לנמלה
4881/2013,4535/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\350\045\c09&fileName=11045350_c09.txt&type=2,כן,כן,,הוספה לנמלה
4700/2011,4535/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\350\045\c09&fileName=11045350_c09.txt&type=2,כן,כן,,הוספה לנמלה
6896/2012,7241/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\410\072\z05&fileName=12072410_z05.txt&type=2,כן,,,הוספה לנמלה
2709/2011,2706/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\060\027\k28&fileName=11027060_k28.txt&type=2,כן,,,הוספה לנמלה
8849/2012,5004/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\490\088\a74&fileName=12088490.A74&type=2,כן,כן,,הוספה לנמלה
6214/2015,5004/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\490\088\a74&fileName=12088490.A74&type=2,כן,כן,,הוספה לנמלה
4392/2014,5004/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\490\088\a74&fileName=12088490.A74&type=2,כן,כן,,הוספה לנמלה
4576/2014,5004/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\490\088\a74&fileName=12088490.A74&type=2,כן,כן,,הוספה לנמלה
3834/2014,5004/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\490\088\a74&fileName=12088490.A74&type=2,כן,כן,,הוספה לנמלה
6633/2012,6327/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\270\063\w04&fileName=12063270_w04.txt&type=2,כן,,,הוספה לנמלה
8498/2010,2820/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\200\028\s12&fileName=10028200_s12.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
8714/2013,8712/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\120\087\w16&fileName=13087120_w16.txt&type=2,כן,,,הוספה לנמלה
9136/2010,8031/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\310\080\z01&fileName=10080310_z01.txt&type=2,כן,,,הוספה לנמלה
6389/2012,2547/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\470\025\s39&fileName=12025470_s39.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
9104/2016,8893/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\930\088\c13&fileName=16088930_c13.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
991/2012,897/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\970\008\b05&fileName=12008970_b05.txt&type=2,כן,,,הוספה לנמלה
