תיק כפול,תיק מקורי,מצב תיק מקורי בנמלה,כתובת,פסק דין?,בג"ץ?,דחיה על הסף?,פעולה שיש לבצע
8859/2014,8839/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\390\088\e30&fileName=14088390.E30&type=2,כן,,,הוספה לנמלה
738/2014,733/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\330\007\w10&fileName=14007330_w10.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
2716/2016,2704/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\040\027\w09&fileName=16027040_w09.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
3074/2016,2704/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\040\027\w09&fileName=16027040_w09.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
1443/2016,456/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\560\004\n14&fileName=16004560.N14&type=2,כן,,,הוספה לנמלה
2565/2014,2546/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\460\025\w37&fileName=14025460_w37.txt&type=2,כן,,,הוספה לנמלה
1837/2011,1633/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\330\016\s21&fileName=11016330_s21.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
1979/2011,1633/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\330\016\s21&fileName=11016330_s21.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
666/2016,430/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\690\039\v17&fileName=15039690.V17&type=2,כן,,,הוספה לנמלה
3969/2015,430/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\690\039\v17&fileName=15039690.V17&type=2,כן,,,הוספה לנמלה
3014/2017,2046/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\460\020\e04&fileName=17020460_e04.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
381/2011,9291/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\910\092\t08&fileName=10092910_t08.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7624/2015,6391/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\910\063\t07&fileName=15063910_t07.txt&type=2,כן,כן,,הוספה לנמלה
2549/2017,3093/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\490\025\e10&fileName=17025490.E10&type=2,,,,העתקת  קידוד מהתיק המקורי
243/2014,7891/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\910\078\z14&fileName=13078910_z14.txt&type=2,כן,,,הוספה לנמלה
6378/2014,6689/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\890\066\t02&fileName=14066890_t02.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7353/2010,6754/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\540\067\e10&fileName=10067540_e10.txt&type=2,כן,,,הוספה לנמלה
7384/2010,6754/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\540\067\e10&fileName=10067540_e10.txt&type=2,כן,,,הוספה לנמלה
9029/2011,8378/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\780\083\v14&fileName=11083780_v14.txt&type=2,כן,,,הוספה לנמלה
9032/2011,8378/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\780\083\v14&fileName=11083780_v14.txt&type=2,כן,,,הוספה לנמלה
7176/2012,8378/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\780\083\v14&fileName=11083780_v14.txt&type=2,כן,,,הוספה לנמלה
4538/2014,4502/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\020\045\w19&fileName=14045020.W19&type=2,כן,,,הוספה לנמלה
4405/2012,4502/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\020\045\w19&fileName=14045020.W19&type=2,כן,,,הוספה לנמלה
4412/2012,4502/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\020\045\w19&fileName=14045020.W19&type=2,כן,,,הוספה לנמלה
8713/2011,4502/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\020\045\w19&fileName=14045020.W19&type=2,כן,,,הוספה לנמלה
4535/2014,4502/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\020\045\w19&fileName=14045020.W19&type=2,כן,,,הוספה לנמלה
2236/2017,2170/2017,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\700\021\v11&fileName=17021700.V11&type=2,,,,העתקת  קידוד מהתיק המקורי
10118/2016,10099/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\990\100\e12&fileName=16100990.E12&type=2,,,,העתקת  קידוד מהתיק המקורי
10177/2016,10099/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\990\100\e12&fileName=16100990.E12&type=2,,,,העתקת  קידוד מהתיק המקורי
7016/2010,2599/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\990\025\v16&fileName=10025990_v16.txt&type=2,כן,,,הוספה לנמלה
1664/2015,703/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\030\007\t02&fileName=15007030_t02.txt&type=2,כן,כן,,הוספה לנמלה
704/2015,703/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\030\007\t02&fileName=15007030_t02.txt&type=2,כן,כן,,הוספה לנמלה
978/2015,703/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\030\007\t02&fileName=15007030_t02.txt&type=2,כן,כן,,הוספה לנמלה
7987/2014,7984/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\840\079\v02&fileName=14079840_v02.txt&type=2,כן,כן,כן,העתקת  קידוד מהתיק המקורי
3064/2013,2903/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\030\029\c11&fileName=13029030_c11.txt&type=2,כן,,כן,הוספה לנמלה
7050/2010,1641/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\410\016\e14&fileName=10016410_e14.txt&type=2,כן,כן,,הוספה לנמלה
7266/2010,1641/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\410\016\e14&fileName=10016410_e14.txt&type=2,כן,כן,,הוספה לנמלה
1968/2012,1650/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\500\016\t09&fileName=12016500_t09.txt&type=2,כן,,,הוספה לנמלה
2375/2015,2377/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\750\023\q08&fileName=15023750.Q08&type=2,כן,,,הוספה לנמלה
4716/2014,4212/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\120\042\z10&fileName=14042120_z10.txt&type=2,כן,,,הוספה לנמלה
3537/2011,3475/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\750\034\p13&fileName=11034750_p13.txt&type=2,כן,,,הוספה לנמלה
3106/2015,2817/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\170\028\i08&fileName=15028170_i08.txt&type=2,כן,,,הוספה לנמלה
4558/2015,6322/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\220\063\c40&fileName=14063220_c40.txt&type=2,כן,כן,,הוספה לנמלה
996/2015,6322/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\220\063\c40&fileName=14063220_c40.txt&type=2,כן,כן,,הוספה לנמלה
2998/2015,6322/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\220\063\c40&fileName=14063220_c40.txt&type=2,כן,כן,,הוספה לנמלה
1390/2014,8011/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\110\080\h20&fileName=13080110_h20.txt&type=2,כן,,,הוספה לנמלה
6930/2014,8011/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\110\080\h20&fileName=13080110_h20.txt&type=2,כן,,,הוספה לנמלה
7382/2013,7137/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\370\071\v14&fileName=13071370_v14.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
4759/2014,4752/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\520\047\v04&fileName=14047520_v04.txt&type=2,כן,,,הוספה לנמלה
7993/2012,7019/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\190\070\m04&fileName=12070190_m04.txt&type=2,כן,,,הוספה לנמלה
2908/2013,7470/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\700\074\o19&fileName=13074700_o19.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
5935/2011,5362/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\620\053\b02&fileName=11053620_b02.txt&type=2,כן,,,הוספה לנמלה
8340/2016,7832/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\320\078\e06&fileName=16078320.E06&type=2,כן,,,הוספה לנמלה
828/2011,9264/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\640\092\c13&fileName=10092640_c13.txt&type=2,כן,,,הוספה לנמלה
9697/2011,9685/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\850\096\h01&fileName=11096850_h01.txt&type=2,כן,,,הוספה לנמלה
2880/2014,6102/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\020\061\e20&fileName=13061020_e20.txt&type=2,כן,,,הוספה לנמלה
5357/2011,5175/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\750\051\t03&fileName=11051750_t03.txt&type=2,כן,,,הוספה לנמלה
4209/2010,3991/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\910\039\s09&fileName=10039910_s09.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7749/2009,2018/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\180\020\m06&fileName=10020180_m06.txt&type=2,כן,כן,,הוספה לנמלה
8901/2013,8880/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\800\088\w14&fileName=13088800_w14.txt&type=2,כן,,,הוספה לנמלה
9449/2012,6924/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\240\069\i13&fileName=12069240_i13.txt&type=2,כן,,,הוספה לנמלה
7296/2012,6924/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\240\069\i13&fileName=12069240_i13.txt&type=2,כן,,,הוספה לנמלה
814/2014,7210/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\100\072\w12&fileName=13072100_w12.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
8020/2011,6764/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\640\067\s04&fileName=11067640_s04.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
4502/2012,4376/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\760\043\t04&fileName=12043760_t04.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
6721/2011,6623/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\230\066\v22&fileName=11066230_v22.txt&type=2,כן,,,הוספה לנמלה
6653/2011,6623/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\230\066\v22&fileName=11066230_v22.txt&type=2,כן,,,הוספה לנמלה
8772/2013,8771/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\710\087\s04&fileName=13087710_s04.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
8148/2010,6345/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\450\063\s16&fileName=10063450_s16.txt&type=2,כן,כן,,הוספה לנמלה
6035/2013,5636/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\360\056\m08&fileName=13056360_m08.txt&type=2,כן,כן,,הוספה לנמלה
5676/2013,5636/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\360\056\m08&fileName=13056360_m08.txt&type=2,כן,כן,,הוספה לנמלה
7722/2011,7196/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\960\071\h04&fileName=11071960_h04.txt&type=2,כן,,,הוספה לנמלה
8742/2015,8822/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\420\087\j13&fileName=15087420.J13&type=2,כן,,,הוספה לנמלה
2563/2012,2381/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\810\023\v06&fileName=12023810_v06.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
3407/2011,2820/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\200\028\b04&fileName=11028200_b04.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
8081/2010,6881/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\810\068\n07&fileName=10068810_n07.txt&type=2,כן,,,הוספה לנמלה
8082/2010,6881/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\810\068\n07&fileName=10068810_n07.txt&type=2,כן,,,הוספה לנמלה
5549/2014,4456/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\560\044\l30&fileName=14044560_l30.txt&type=2,כן,,,הוספה לנמלה
5496/2014,4456/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\560\044\l30&fileName=14044560_l30.txt&type=2,כן,,,הוספה לנמלה
5433/2014,4456/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\560\044\l30&fileName=14044560_l30.txt&type=2,כן,,,הוספה לנמלה
5076/2014,4456/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\560\044\l30&fileName=14044560_l30.txt&type=2,כן,,,הוספה לנמלה
4568/2014,4456/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\560\044\l30&fileName=14044560_l30.txt&type=2,כן,,,הוספה לנמלה
5669/2014,4456/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\560\044\l30&fileName=14044560_l30.txt&type=2,כן,,,הוספה לנמלה
4735/2014,4456/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\560\044\l30&fileName=14044560_l30.txt&type=2,כן,,,הוספה לנמלה
5270/2014,4456/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\560\044\l30&fileName=14044560_l30.txt&type=2,כן,,,הוספה לנמלה
5546/2014,4456/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\560\044\l30&fileName=14044560_l30.txt&type=2,כן,,,הוספה לנמלה
5019/2015,4915/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\150\049\z01&fileName=15049150_z01.txt&type=2,כן,,,הוספה לנמלה
5008/2015,4915/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\150\049\z01&fileName=15049150_z01.txt&type=2,כן,,,הוספה לנמלה
4570/2016,4586/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\700\045\z16&fileName=16045700.Z16&type=2,,כן,,העתקת  קידוד מהתיק המקורי
6118/2013,5594/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\940\055\c05&fileName=13055940_c05.txt&type=2,כן,,,הוספה לנמלה
4159/2014,4087/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\870\040\b22&fileName=14040870_b22.txt&type=2,כן,,,הוספה לנמלה
1276/2014,944/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\440\009\k09&fileName=14009440_k09.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7193/2012,6502/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\020\065\v10&fileName=12065020_v10.txt&type=2,כן,,,הוספה לנמלה
8615/2010,3835/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\350\038\t33&fileName=10038350_t33.txt&type=2,כן,כן,,הוספה לנמלה
8941/2016,8940/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\400\089\m05&fileName=16089400_m05.txt&type=2,כן,כן,,הוספה לנמלה
1456/2015,1105/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\050\011\t03&fileName=15011050_t03.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
1230/2015,1105/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\050\011\t03&fileName=15011050_t03.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
6755/2011,6507/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\070\065\v11&fileName=11065070_v11.txt&type=2,כן,,,הוספה לנמלה
2183/2015,2182/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\820\021\t08&fileName=15021820_t08.txt&type=2,כן,כן,,הוספה לנמלה
7447/2012,6070/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\700\060\a05&fileName=12060700_a05.txt&type=2,כן,,,הוספה לנמלה
6020/2012,6070/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\700\060\a05&fileName=12060700_a05.txt&type=2,כן,,,הוספה לנמלה
1760/2014,1568/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\680\015\l03&fileName=14015680_l03.txt&type=2,כן,,,הוספה לנמלה
3682/2011,5969/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\690\059\c20&fileName=12059690_c20.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
4674/2011,5969/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\690\059\c20&fileName=12059690_c20.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
7677/2010,5969/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\690\059\c20&fileName=12059690_c20.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
4745/2011,5969/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\690\059\c20&fileName=12059690_c20.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
2277/2012,5969/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\690\059\c20&fileName=12059690_c20.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
9547/2011,5969/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\690\059\c20&fileName=12059690_c20.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
7804/2011,5969/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\690\059\c20&fileName=12059690_c20.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
3200/2016,2962/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\620\029\w05&fileName=16029620_w05.txt&type=2,כן,,,הוספה לנמלה
4461/2010,4420/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\200\044\o03&fileName=10044200_o03.txt&type=2,כן,,,הוספה לנמלה
6270/2010,4420/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\200\044\o03&fileName=10044200_o03.txt&type=2,כן,,,הוספה לנמלה
2235/2011,2234/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\340\022\e12&fileName=11022340_e12.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
473/2015,462/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\620\004\t05&fileName=15004620_t05.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
467/2015,462/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\620\004\t05&fileName=15004620_t05.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
1638/2016,1631/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\310\016\12w&fileName=16016310_12w.txt&type=2,כן,כן,,הוספה לנמלה
6895/2015,4140/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\400\041\t04&fileName=15041400_t04.txt&type=2,כן,,,הוספה לנמלה
5051/2010,4821/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\210\048\t12&fileName=10048210_t12.txt&type=2,כן,,,הוספה לנמלה
988/2015,958/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\580\009\z04&fileName=15009580_z04.txt&type=2,,כן,,העתקת  קידוד מהתיק המקורי
9068/2011,8988/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\880\089\t02&fileName=11089880_t02.txt&type=2,כן,,,הוספה לנמלה
2877/2016,2673/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\730\026\e11&fileName=16026730.E11&type=2,כן,,,הוספה לנמלה
1721/2011,7215/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\150\072\o01&fileName=10072150_o01.txt&type=2,כן,,,הוספה לנמלה
7713/2010,7215/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\150\072\o01&fileName=10072150_o01.txt&type=2,כן,,,הוספה לנמלה
2260/2014,1877/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\770\018\c29&fileName=14018770.c29&type=2,כן,כן,,הוספה לנמלה
8017/2015,1877/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\770\018\c29&fileName=14018770.c29&type=2,כן,כן,,הוספה לנמלה
1937/2014,1877/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\770\018\c29&fileName=14018770.c29&type=2,כן,כן,,הוספה לנמלה
7464/2011,4925/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\250\049\w06&fileName=11049250_w06.txt&type=2,כן,כן,,הוספה לנמלה
4607/2015,3863/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\630\038\o04&fileName=15038630_o04.txt&type=2,כן,,,הוספה לנמלה
4622/2015,3863/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\630\038\o04&fileName=15038630_o04.txt&type=2,כן,,,הוספה לנמלה
8641/2012,8678/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\780\086\o02&fileName=12086780_o02.txt&type=2,כן,,,הוספה לנמלה
7307/2010,7221/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\210\072\o09&fileName=10072210_o09.txt&type=2,כן,,כן,הוספה לנמלה
4785/2013,3531/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\310\035\s16&fileName=12035310_s16.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
5392/2011,5239/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\390\052\k21&fileName=11052390.K21&type=2,כן,כן,,הוספה לנמלה
2072/2012,5239/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\390\052\k21&fileName=11052390.K21&type=2,כן,כן,,הוספה לנמלה
5549/2011,5239/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\390\052\k21&fileName=11052390.K21&type=2,כן,כן,,הוספה לנמלה
4518/2011,4517/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\170\045\o01&fileName=11045170_o01.txt&type=2,כן,,,הוספה לנמלה
2898/2010,2842/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\420\028\h02&fileName=10028420_h02.txt&type=2,כן,,,הוספה לנמלה
4218/2014,7183/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\830\071\m16&fileName=13071830_m16.txt&type=2,כן,,,הוספה לנמלה
420/2011,9616/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\160\096\l01&fileName=10096160_l01.txt&type=2,כן,,,הוספה לנמלה
6445/2011,6384/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\840\063\h10&fileName=11063840_h10.txt&type=2,כן,,,הוספה לנמלה
8726/2010,8591/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\910\085\t03&fileName=10085910_t03.txt&type=2,כן,,,הוספה לנמלה
8679/2010,8591/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\910\085\t03&fileName=10085910_t03.txt&type=2,כן,,,הוספה לנמלה
3824/2013,3823/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\230\038\e09&fileName=13038230_e09.txt&type=2,כן,,,הוספה לנמלה
3886/2013,3823/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\230\038\e09&fileName=13038230_e09.txt&type=2,כן,,,הוספה לנמלה
1126/2016,793/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\930\007\e04&fileName=16007930_e04.txt&type=2,כן,,,הוספה לנמלה
8272/2013,7543/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\430\075\c05&fileName=13075430_c05.txt&type=2,כן,,,הוספה לנמלה
8234/2013,7543/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\430\075\c05&fileName=13075430_c05.txt&type=2,כן,,,הוספה לנמלה
7545/2013,7543/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\430\075\c05&fileName=13075430_c05.txt&type=2,כן,,,הוספה לנמלה
