תיק כפול,תיק מקורי,כתובת,האם תוצאת התיקים ההמוזגים זהה? (כן- זהה. לא - לא זהה),"בג""ץ?",תיקים נוספים שאוחדו ונדחו,תיקים נוספים שאוחדו והתקבלו,*/# אם מדובר בריבוי תיקים
2375/2015,2377/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\750\023\q08&fileName=15023750.Q08&type=2,כן,,,,
4716/2014,4212/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\120\042\z10&fileName=14042120_z10.txt&type=2,כן,,,,
3106/2015,2817/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\170\028\i08&fileName=15028170_i08.txt&type=2,כן,,,,
1390/2014,8011/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\110\080\h20&fileName=13080110_h20.txt&type=2,כן,,,,#
6930/2014,8011/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\110\080\h20&fileName=13080110_h20.txt&type=2,כן,,,,#
7993/2012,7019/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\190\070\m04&fileName=12070190_m04.txt&type=2,כן,,,,
5935/2011,5362/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\620\053\b02&fileName=11053620_b02.txt&type=2,כן,,,,
828/2011,9264/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\640\092\c13&fileName=10092640_c13.txt&type=2,כן,,,,
9697/2011,9685/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\850\096\h01&fileName=11096850_h01.txt&type=2,כן,,,,
2880/2014,6102/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\020\061\e20&fileName=13061020_e20.txt&type=2,כן,,,,
5357/2011,5175/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\750\051\t03&fileName=11051750_t03.txt&type=2,כן,,,,
7749/2009,2018/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\180\020\m06&fileName=10020180_m06.txt&type=2,כן,כן,,,
8901/2013,8880/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\800\088\w14&fileName=13088800_w14.txt&type=2,כן,,,,
9449/2012,6924/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\240\069\i13&fileName=12069240_i13.txt&type=2,כן,,,,*
7296/2012,6924/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\240\069\i13&fileName=12069240_i13.txt&type=2,כן,,,,*
8148/2010,6345/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\450\063\s16&fileName=10063450_s16.txt&type=2,כן,כן,,,
6035/2013,5636/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\360\056\m08&fileName=13056360_m08.txt&type=2,כן,כן,,,*
5676/2013,5636/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\360\056\m08&fileName=13056360_m08.txt&type=2,כן,כן,,,*
7722/2011,7196/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\960\071\h04&fileName=11071960_h04.txt&type=2,כן,,,,
8081/2010,6881/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\810\068\n07&fileName=10068810_n07.txt&type=2,כן,,,,*
8082/2010,6881/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\810\068\n07&fileName=10068810_n07.txt&type=2,כן,,,,*
5019/2015,4915/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\150\049\z01&fileName=15049150_z01.txt&type=2,כן,,,,
5008/2015,4915/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\150\049\z01&fileName=15049150_z01.txt&type=2,כן,,,,
6118/2013,5594/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\940\055\c05&fileName=13055940_c05.txt&type=2,כן,,,,
4159/2014,4087/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\870\040\b22&fileName=14040870_b22.txt&type=2,כן,,,,
8941/2016,8940/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\400\089\m05&fileName=16089400_m05.txt&type=2,כן,כן,,,
7447/2012,6070/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\700\060\a05&fileName=12060700_a05.txt&type=2,כן,,,,*
6020/2012,6070/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\700\060\a05&fileName=12060700_a05.txt&type=2,כן,,,,*
3200/2016,2962/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\620\029\w05&fileName=16029620_w05.txt&type=2,כן,,,,
6895/2015,4140/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\400\041\t04&fileName=15041400_t04.txt&type=2,כן,,,,
9068/2011,8988/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\880\089\t02&fileName=11089880_t02.txt&type=2,כן,,,,
2877/2016,2673/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\730\026\e11&fileName=16026730.E11&type=2,כן,,,,
1721/2011,7215/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\150\072\o01&fileName=10072150_o01.txt&type=2,כן,,,,*
7713/2010,7215/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\150\072\o01&fileName=10072150_o01.txt&type=2,כן,,,,*
7464/2011,4925/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\250\049\w06&fileName=11049250_w06.txt&type=2,כן,כן,,,
4607/2015,3863/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\630\038\o04&fileName=15038630_o04.txt&type=2,כן,,,,*
4622/2015,3863/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\630\038\o04&fileName=15038630_o04.txt&type=2,כן,,,,*
8641/2012,8678/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\780\086\o02&fileName=12086780_o02.txt&type=2,כן,,,,מדובר בתיק בודד
5392/2011,5239/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\390\052\k21&fileName=11052390.K21&type=2,כן,כן,,,*
2072/2012,5239/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\390\052\k21&fileName=11052390.K21&type=2,כן,כן,,,*
5549/2011,5239/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\390\052\k21&fileName=11052390.K21&type=2,כן,כן,,,*
4218/2014,7183/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\830\071\m16&fileName=13071830_m16.txt&type=2,כן,,,,
420/2011,9616/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\160\096\l01&fileName=10096160_l01.txt&type=2,כן,,,,
6445/2011,6384/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\840\063\h10&fileName=11063840_h10.txt&type=2,כן,,,,
8726/2010,8591/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\910\085\t03&fileName=10085910_t03.txt&type=2,כן,,,,*
8679/2010,8591/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\910\085\t03&fileName=10085910_t03.txt&type=2,כן,,,,*
3824/2013,3823/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\230\038\e09&fileName=13038230_e09.txt&type=2,כן,,,,#
3886/2013,3823/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\230\038\e09&fileName=13038230_e09.txt&type=2,כן,,,,#
1126/2016,793/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\930\007\e04&fileName=16007930_e04.txt&type=2,כן,,,,
5438/2011,3933/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\330\039\b24&fileName=11039330_b24.txt&type=2,כן,כן,,,
7346/2016,5728/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\280\057\z12&fileName=16057280_z12.txt&type=2,כן,,,,
4009/2011,4008/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\080\040\o04&fileName=11040080_o04.txt&type=2,כן,,,,
6391/2011,5909/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\090\059\v03&fileName=11059090_v03.txt&type=2,כן,,,,*
6121/2011,5909/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\090\059\v03&fileName=11059090_v03.txt&type=2,כן,,,,*
665/2017,1104/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\650\006\e04&fileName=17006650.E04&type=2,כן,,,,
816/2012,814/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\140\008\w02&fileName=12008140_w02.txt&type=2,כן,,,,
4688/2016,158/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\580\001\v06&fileName=16001580.v06&type=2,כן,,,,
2641/2012,9453/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\530\094\c10&fileName=10094530_c10.txt&type=2,כן,,,,
3599/2016,3669/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\990\035\i06&fileName=16035990.i06&type=2,כן,,,,
441/2015,190/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\900\001\o05&fileName=15001900_o05.txt&type=2,כן,,,,
6666/2011,5780/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\800\057\t02&fileName=11057800_t02.txt&type=2,כן,,,,
739/2014,100/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\000\001\z02&fileName=14001000_z02.txt&type=2,כן,,,,
4188/2014,4119/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\190\041\i02&fileName=14041190_i02.txt&type=2,כן,,,,
9123/2012,9342/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\420\093\v10&fileName=12093420_v10.txt&type=2,כן,,,,תיק בודד
3190/2013,3163/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\630\031\e02&fileName=13031630_e02.txt&type=2,כן,,,,
2016/2012,1887/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\870\018\m03&fileName=12018870_m03.txt&type=2,כן,,,,
1289/2014,7340/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\400\073\t16&fileName=13073400_t16.txt&type=2,כן,,,,#
6735/2014,7340/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\400\073\t16&fileName=13073400_t16.txt&type=2,כן,,,,#
1455/2014,7340/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\400\073\t16&fileName=13073400_t16.txt&type=2,כן,,,,#
8236/2016,7204/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\040\072\n12&fileName=15072040.N12&type=2,כן,,,,
928/2016,452/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\520\004\t09&fileName=16004520_t09.txt&type=2,כן,כן,,,
6831/2015,6468/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\680\064\t07&fileName=15064680_t07.txt&type=2,כן,,,,
5339/2015,4880/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\800\048\e10&fileName=15048800_e10.txt&type=2,כן,,,,
4249/2010,4182/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\820\041\b02&fileName=10041820_b02.txt&type=2,כן,,,,
846/2016,383/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\830\003\m07&fileName=16003830_m07.txt&type=2,כן,,,,
3808/2011,3699/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\990\036\k17&fileName=11036990_k17.txt&type=2,כן,,,,*
4444/2011,3699/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\990\036\k17&fileName=11036990_k17.txt&type=2,כן,,,,*
4886/2010,4885/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\850\048\p14&fileName=10048850_p14.txt&type=2,כן,כן,,,#
4887/2010,4885/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\850\048\p14&fileName=10048850_p14.txt&type=2,כן,כן,,,#
1993/2010,1706/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\060\017\t01&fileName=10017060_t01.txt&type=2,כן,,,,
734/2017,536/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\360\005\q05&fileName=17005360_q05.txt&type=2,כן,,,,
150/2013,80/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\800\000\o12&fileName=13000800_o12.txt&type=2,כן,,,,
6970/2013,6940/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\400\069\z11&fileName=13069400_z11.txt&type=2,כן,,,,#
226/2014,6940/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\400\069\z11&fileName=13069400_z11.txt&type=2,כן,,,,#
9590/2011,9507/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\070\095\w01&fileName=11095070_w01.txt&type=2,כן,,,,
4857/2014,3166/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\660\031\s13&fileName=14031660_s13.txt&type=2,כן,כן,,,
2224/2013,1353/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\530\013\t08&fileName=13013530_t08.txt&type=2,כן,,,,
1603/2017,3088/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\030\016\e09&fileName=17016030.E09&type=2,כן,כן,,,
1493/2015,1311/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\110\013\v03&fileName=15013110_v03.txt&type=2,כן,כן,,,
4238/2014,4028/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\280\040\a05&fileName=14040280_a05.txt&type=2,כן,,,,
2504/2011,2311/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\110\023\s18&fileName=11023110_s18.txt&type=2,כן,כן,,,
833/2014,702/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\020\007\e06&fileName=14007020_e06.txt&type=2,כן,,,,
8692/2011,2944/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\440\029\k31&fileName=10029440_k31.txt&type=2,כן,כן,,,
1840/2011,1784/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\840\017\t03&fileName=11017840_t03.txt&type=2,כן,,,,
7256/2012,354/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\540\003\l14&fileName=11003540_l14.txt&type=2,כן,,,,
5912/2014,4407/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\070\044\w05&fileName=14044070_w05.txt&type=2,כן,,,,
6170/2011,6168/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\680\061\w05&fileName=11061680_w05.txt&type=2,כן,,,,#
7129/2011,6168/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\680\061\w05&fileName=11061680_w05.txt&type=2,כן,,,,#
4779/2014,4760/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\600\047\k07&fileName=14047600_k07.txt&type=2,כן,,,,*
4864/2014,4760/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\600\047\k07&fileName=14047600_k07.txt&type=2,כן,,,,*
4764/2014,4760/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\600\047\k07&fileName=14047600_k07.txt&type=2,כן,,,,*
5215/2014,4760/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\600\047\k07&fileName=14047600_k07.txt&type=2,כן,,,,*
7456/2010,7259/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\590\072\p15&fileName=10072590_p15.txt&type=2,כן,,,,
4329/2013,4131/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\310\041\z05&fileName=13041310_z05.txt&type=2,כן,,,,
8169/2017,8173/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\690\081\e03&fileName=17081690.E03&type=2,כן,כן,,,
8425/2011,8274/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\740\082\l10&fileName=11082740_l10.txt&type=2,כן,,,,#
9490/2011,8274/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\740\082\l10&fileName=11082740_l10.txt&type=2,כן,,,,#
821/2013,3400/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\000\034\s17&fileName=12034000_s17.txt&type=2,כן,כן,,,*
3527/2012,3400/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\000\034\s17&fileName=12034000_s17.txt&type=2,כן,כן,,,*
5027/2012,4875/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\750\048\b05&fileName=12048750_b05.txt&type=2,כן,,,,
995/2013,979/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\790\009\e11&fileName=13009790_e11.txt&type=2,כן,,,,
8875/2016,9072/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\750\088\z08&fileName=16088750.Z08&type=2,כן,,,,
1082/2015,945/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\450\009\i03&fileName=15009450_i03.txt&type=2,כן,,,,#
995/2015,945/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\450\009\i03&fileName=15009450_i03.txt&type=2,כן,,,,#
3827/2015,3817/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\170\038\e05&fileName=15038170_e05.txt&type=2,כן,,,,
5093/2017,5103/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\930\050\e04&fileName=17050930.E04&type=2,כן,,,,
3024/2011,2703/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\030\027\v04&fileName=11027030_v04.txt&type=2,כן,,,,
6008/2011,5964/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\640\059\l08&fileName=11059640_l08.txt&type=2,כן,,,,#
5963/2011,5964/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\640\059\l08&fileName=11059640_l08.txt&type=2,כן,,,,#
7543/2012,7224/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\240\072\s10&fileName=12072240_s10.txt&type=2,כן,,,,
1768/2011,76/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\760\000\h06&fileName=11000760_h06.txt&type=2,כן,,,,
8376/2013,8135/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\350\081\c14&fileName=13081350_c14.txt&type=2,כן,,,,*
8819/2013,8135/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\350\081\c14&fileName=13081350_c14.txt&type=2,כן,,,,*
2700/2014,2064/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\640\020\w06&fileName=14020640_w06.txt&type=2,כן,,,,
5483/2012,5265/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\650\052\b03&fileName=12052650_b03.txt&type=2,כן,,,,
851/2012,9044/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\440\090\h03&fileName=11090440_h03.txt&type=2,כן,,,,#
984/2012,9044/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\440\090\h03&fileName=11090440_h03.txt&type=2,כן,,,,#
9159/2011,9044/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\440\090\h03&fileName=11090440_h03.txt&type=2,כן,,,,#
6096/2011,6067/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\670\060\k08&fileName=11060670_k08.txt&type=2,כן,כן,,,
1988/2011,1942/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\420\019\s12&fileName=11019420_s12.txt&type=2,כן,,,,
5961/2016,5336/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\360\053\e12&fileName=16053360_e12.txt&type=2,כן,,,,
8476/2013,8470/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\700\084\m04&fileName=13084700_m04.txt&type=2,כן,,,,
1518/2010,1361/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\610\013\t07&fileName=10013610_t07.txt&type=2,כן,,,,#
1495/2010,1361/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\610\013\t07&fileName=10013610_t07.txt&type=2,כן,,,,#
1477/2010,1361/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\610\013\t07&fileName=10013610_t07.txt&type=2,כן,,,,#
1663/2010,1361/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\610\013\t07&fileName=10013610_t07.txt&type=2,כן,,,,#
1528/2010,1361/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\610\013\t07&fileName=10013610_t07.txt&type=2,כן,,,,#
8476/2014,8421/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\210\084\t31&fileName=14084210_t31.txt&type=2,כן,כן,,,#
8824/2014,8421/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\210\084\t31&fileName=14084210_t31.txt&type=2,כן,כן,,,#
2471/2013,9075/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\750\090\o11&fileName=12090750_o11.txt&type=2,כן,,,,תיק בודד
2777/2013,2651/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\510\026\c07&fileName=13026510_c07.txt&type=2,כן,,,,
8005/2011,7972/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\720\079\c01&fileName=11079720_c01.txt&type=2,כן,,,,#
8153/2011,7972/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\720\079\c01&fileName=11079720_c01.txt&type=2,כן,,,,#
3092/2012,3388/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\880\033\c07&fileName=12033880_c07.txt&type=2,כן,,,,
7685/2013,7643/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\430\076\t07&fileName=13076430_t07.txt&type=2,כן,,,,
1795/2013,1789/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\890\017\m03&fileName=13017890_m03.txt&type=2,כן,כן,,,
8009/2012,7977/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\770\079\s02&fileName=12079770_s02.txt&type=2,כן,,,,
954/2012,1042/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\420\010\p04&fileName=12010420_p04.txt&type=2,כן,,,,
5489/2011,5365/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\650\053\a09&fileName=11053650_a09.txt&type=2,כן,,,,
8750/2013,8236/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\360\082\t06&fileName=13082360_t06.txt&type=2,כן,,,,
216/2012,3542/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\420\035\e05&fileName=10035420_e05.txt&type=2,כן,,,,
6234/2013,8759/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\590\087\s12&fileName=11087590_s12.txt&type=2,כן,כן,,,
5010/2015,4506/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\060\045\m36&fileName=15045060_m36.txt&type=2,כן,,,,#
4838/2015,4506/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\060\045\m36&fileName=15045060_m36.txt&type=2,כן,,,,#
4840/2015,4506/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\060\045\m36&fileName=15045060_m36.txt&type=2,כן,,,,#
7084/2010,7058/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\580\070\e16&fileName=10070580_e16.txt&type=2,כן,,,,
3796/2013,3116/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\160\031\l03&fileName=13031160_l03.txt&type=2,כן,,,,
444/2015,423/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\230\004\v01&fileName=15004230_v01.txt&type=2,כן,,,,#
439/2015,423/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\230\004\v01&fileName=15004230_v01.txt&type=2,כן,,,,#
4927/2014,4289/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\890\042\w04&fileName=14042890_w04.txt&type=2,כן,,,,
234/2014,84/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\840\000\e07&fileName=14000840_e07.txt&type=2,כן,,,,
3454/2011,3099/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\990\030\e06&fileName=11030990_e06.txt&type=2,כן,,,,
1788/2012,1685/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\850\016\c11&fileName=12016850_c11.txt&type=2,כן,,,,#
1790/2012,1685/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\850\016\c11&fileName=12016850_c11.txt&type=2,כן,,,,#
8940/2011,5541/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\410\055\w02&fileName=11055410_w02.txt&type=2,כן,,,,
325/2010,319/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\190\003\s04&fileName=10003190_s04.txt&type=2,כן,,,,
2277/2016,4713/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\670\020\e07&fileName=16020670.E07&type=2,כן,,,,#
2067/2016,4713/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\670\020\e07&fileName=16020670.E07&type=2,כן,,,,#
3955/2012,3134/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\340\031\s19&fileName=12031340_s19.txt&type=2,כן,כן,,,
6002/2013,5849/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\490\058\i03&fileName=13058490_i03.txt&type=2,כן,,,,
2826/2017,2413/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\130\024\a01&fileName=17024130.A01&type=2,כן,,,,
3773/2012,2994/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\940\029\w01&fileName=12029940_w01.txt&type=2,כן,,,,
