תיק כפול,תיק מקורי,כתובת,האם תוצאת התיקים ההמוזגים זהה? (כן- זהה. לא - לא זהה),"בג""ץ?",תיקים נוספים שאוחדו ונדחו,תיקים נוספים שאוחדו והתקבלו,*/# אם מדובר בריבוי תיקים
6355/2017,5478/2017,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\17\780\054\v11&fileName=17054780.V11&type=2,כן,,,,
9810/2016,9922/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,,*
9814/2016,9922/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,,*
9812/2016,9922/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,,*
9842/2016,9922/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,,*
8249/2016,9922/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,,*
9843/2016,9922/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,,*
6952/2016,9922/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,,*
982/2017,9922/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,,*
4946/2016,9922/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\460\049\t28&fileName=16049460.T28&type=2,כן,,,,*
6037/2014,4790/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\900\047\m10&fileName=14047900_m10.txt&type=2,כן,כן,,,#
5080/2014,4790/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\900\047\m10&fileName=14047900_m10.txt&type=2,כן,כן,,,#
4635/2013,4631/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\310\046\w02&fileName=13046310_w02.txt&type=2,כן,,,,*
4659/2013,4631/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\310\046\w02&fileName=13046310_w02.txt&type=2,כן,,,,*
280/2010,109/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\090\001\o01&fileName=10001090_o01.txt&type=2,כן,,,,#
196/2010,109/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\090\001\o01&fileName=10001090_o01.txt&type=2,כן,,,,#
5167/2010,4994/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\940\049\o02&fileName=10049940_o02.txt&type=2,כן,,,,
5374/2016,5307/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\070\053\c06&fileName=16053070_c06.txt&type=2,כן,,,,
7705/2012,4703/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\030\047\a03&fileName=12047030_a03.txt&type=2,כן,,,,*
5137/2012,4703/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\030\047\a03&fileName=12047030_a03.txt&type=2,כן,,,,*
5212/2011,7703/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\030\077\c17&fileName=10077030_c17.txt&type=2,כן,,,,
5436/2011,4215/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\150\042\b18&fileName=11042150_b18.txt&type=2,כן,,,,
3787/2015,3777/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\770\037\c13&fileName=15037770_c13.txt&type=2,כן,כן,,,
3461/2012,3257/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\570\032\s06&fileName=12032570_s06.txt&type=2,כן,,,,
7520/2010,7490/2010,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\900\074\c06&fileName=10074900_c06.txt&type=2,כן,,,,
1164/2015,687/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\870\006\c08&fileName=15006870_c08.txt&type=2,כן,כן,,,#
858/2015,687/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\870\006\c08&fileName=15006870_c08.txt&type=2,כן,כן,,,#
1201/2015,687/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\870\006\c08&fileName=15006870_c08.txt&type=2,כן,כן,,,#
6212/2015,5247/2015,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\470\052\e03&fileName=15052470_e03.txt&type=2,כן,,,,
6917/2016,6833/2016,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\330\068\i02&fileName=16068330_i02.txt&type=2,כן,,,,
9456/2012,8894/2012,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\940\088\t02&fileName=12088940_t02.txt&type=2,כן,,,,
242/2011,129/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\290\001\o06&fileName=11001290_o06.txt&type=2,כן,,,,
148/2011,129/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\290\001\o06&fileName=11001290_o06.txt&type=2,כן,,,,
5559/2011,2010/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\100\020\e16&fileName=11020100_e16.txt&type=2,כן,כן,,,
3055/2011,2688/2011,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\880\026\e07&fileName=11026880_e07.txt&type=2,כן,,,,
5934/2014,5436/2014,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\360\054\t10&fileName=14054360_t10.txt&type=2,כן,,,,
6404/2013,201/2013,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\010\002\l11&fileName=13002010_l11.txt&type=2,כן,,,,*
